Carimbo de data/hora;Qual município você está morando atualmente? Responda com o formato município/UF;Ano de Entrada no Curso;Ano de Saída/Conclusão do Curso;Possui Pós-Graduação;Quais cursos de pós-graduação você já concluiu?;Você está trabalhando?;O seu emprego é na área de formação?;Quanto tempo, em meses, demorou para conseguir o primeiro emprego após concluir o curso?;Qual a sua situação no mercado de trabalho?;Qual o nome da organização onde você trabalha?;Qual o setor do seu trabalho?;Esfera pública em que trabalha?;Se você marcou OUTRO na pergunta anterior, descreva sucintamente abaixo qual a sua situação. Caso não tenha marcado OUTRO, apenas digite XX a seguir.;Faixa de Conclusão;Faixa de Tempo 1º Emprego;UF
2024-10-22 15:59:46.750;Capanema - Pa;2017;2022;Cursando;Especialização;Sim;Não;0;Outro;Gp7 Distribuidora;Empresa Privada;Não Informado;Supervisora De Logística;2020–2024;Até 6 meses;PA
2024-10-22 16:06:17.683;Capanema Pa;2014;2019;Sim;Especialização;Sim;Sim;3;Empresário;Empresa Lótus Engenharia E Consultoria Ambiental;Empresa Própria;Não Informado;Xx;2017–2019;Até 6 meses;PA
2024-10-22 16:09:08.245;Capanema Pa;2015;2021;Cursando;Não Possui;Sim;Sim;12;Servidor Público;Secretaria Municipal De Meio Ambiente;Estatal (Órgãos, Autarquias E Empresas De Economia Mista, Federal, Estadual E Municipal);Municipal;Xx;2020–2024;7 a 12 meses;PA
2024-10-22 16:16:27.221;Belém/Pa;2015;2019;Sim;Mestrado Profissional;Sim;Sim;36;Servidor Público;Ibama;Estatal (Órgãos, Autarquias E Empresas De Economia Mista, Federal, Estadual E Municipal);Federal;Servidor;2017–2019;Mais de 24 meses;PA
2024-10-22 16:26:46.236;Castanhal/Pa;2017;2024;Cursando;Mestrado;Sim;Não;0;Outro;Gms Construções;Empresa Privada;Não Informado;Empregado, Carteira Assinada;2020–2024;Até 6 meses;PA
2024-10-22 16:58:32.787;Santa Maria Do Pará/Pa;2015;2020;Sim;Mestrado;Sim;Não;0;Servidor Público;Seduc/Pa;Estatal (Órgãos, Autarquias E Empresas De Economia Mista, Federal, Estadual E Municipal);Estadual;Xx;2020–2024;Até 6 meses;PA
2024-10-22 18:52:42.774;Capanema/Pa;2018;2023;Cursando;Especialização;Sim;Não;2;Outro;Votorantim Ciumentos;Empresa Privada;Não Informado;Estágio;2020–2024;Até 6 meses;PA
2024-10-22 19:32:22.946;Belém/Pa;2015;2020;Sim;Especialização, Mestrado;Sim;Sim;36;Outro;Amazomudas;Empresa Privada;Não Informado;Consultoria Em Empresa;2020–2024;Mais de 24 meses;PA
2024-10-22 20:17:54.106;Capanema/Pa;2017;2022;Não;Não Possui;Sim;Sim;6;Empresário, Com Carteira Assinada;Quatro Estações Engenharia;Empresa Privada;Não Informado;Xx;2020–2024;Até 6 meses;PA
2024-10-22 21:25:31.883;Capanema/Pa;2014;2019;Não;Não Possui;Sim;Sim;6;Outro;Nórticus Engenharia, Semma De Peixe-Boi E Semma De Nova Timboteua;Estatal (Órgãos, Autarquias E Empresas De Economia Mista, Federal, Estadual E Municipal);Municipal;Empresário E Servidor Pública Contratada;2017–2019;Até 6 meses;PA
